RANK,NAME,LANGUAGE,TYPE,MOST_STREAMED_GAME,2ND_MOST_STREAMED_GAME,AVERAGE_STREAM_DURATION,FOLLOWERS_GAINED_PER_STREAM,AVG_VIEWERS_PER_STREAM,AVG_GAMES_PER_STREAM,TOTAL_TIME_STREAMED,TOTAL_FOLLOWERS,TOTAL_VIEWS,TOTAL_GAMES_STREAMED,ACTIVE_DAYS_PER_WEEK,MOST_ACTIVE_DAY,DAY_WITH_MOST_FOLLOWERS_GAINED
197,litkillah,Spanish,personality,Grand Theft Auto V,Just Chatting,3.4,9053,69452,1.7,1115,2680000,20400000,18,1.6,Tuesday,Friday
198,doublelift,English,personality,League of Legends,Path of Exile,4.8,9620,6589,1.1,6108,1790000,102000000,50,3.2,Friday,Tuesday
199,maya,English,personality,Just Chatting,Music,3.1,8880,21487,1.3,2996,815000,19700000,89,3.5,Friday,Monday
200,scump,English,personality,Call of Duty: Warzone,Call of Duty: Black Ops 4,5.2,1506,32447,1.2,5777,1690000,42700000,58,2.9,Thursday,Sunday
201,cdawgva,English,personality,Just Chatting,Apex Legends,5.4,1907,1367,2.0,3668,1270000,9130000,352,1.8,Wednesday,Monday
202,tisischubech,German,personality,FIFA 23,EA Sports FC 24,5.4,1261,2501,1.5,1994,460000,902000,24,2.6,Sunday,Wednesday
203,therealmarzaa,Italian,personality,Fortnite,Just Chatting,5.5,8880,819,3.6,10623,1510000,13900000,452,6.4,Monday,Tuesday
204,ravshann,Russian,personality,Just Chatting,Grand Theft Auto V,3.3,4960,1964,1.6,3215,482000,1910000,48,3.5,Wednesday,Sunday
205,nix,Russian,personality,Dota 2,Just Chatting,6.8,9420,22722,1.9,5242,776000,18700000,59,2.8,Saturday,Sunday
206,jcorko_,Spanish,personality,Grand Theft Auto V,Just Chatting,4.6,8140,14052,1.7,39,750000,12900000,54,2.4,Monday,Monday
207,martinciriook,Spanish,personality,Just Chatting,Resident Evil 4,1.8,2980,5580,1.0,1031,180000,313000,17,4.2,Tuesday,Tuesday
208,twitchrivals,English,esports,League of Legends,Fortnite,4.4,4361,481615,1.1,301,2440000,269000000,122,2.1,Thursday,Sunday
209,runthefutmarket,English,personality,FIFA 19,FIFA 20,4.3,4040,8337,1.3,9186,928000,19100000,53,5.5,Friday,Monday
210,rebeudeter,French,personality,Grand Theft Auto V,Just Chatting,3.2,4004,29395,1.4,128,1500000,11000000,95,1.4,Thursday,Sunday
211,aussieantics,English,esports,Fortnite,Sea of Thieves,7.3,6490,14956,1.3,1329,1240000,28600000,71,6.3,Friday,Sunday
212,guacamolemolly,Russian,personality,Just Chatting,Counter-Strike,3.6,5100,9121,1.5,3198,423000,7560000,99,2.7,Thursday,Monday
213,jinnytty,English,personality,Just Chatting,IRL,7.6,4790,28223,1.6,16123,1010000,60500000,311,5.9,Sunday,Sunday
214,pgl_dota2en2,English,esports,Dota 2,Variety,6.5,1097,16835,1.0,1411,193000,2980000,2,0.7,Monday,Saturday
215,hutchmf,English,personality,Grand Theft Auto V,Escape from Tarkov,8.0,2150,549,1.5,1287,382000,9680000,133,4.7,Tuesday,Sunday
216,thegrefg,Spanish,personality,Just Chatting,Fortnite,4.5,7156,15968,2.0,6849,11900000,263000000,114,6.3,Thursday,Sunday
217,auziomf,English,personality,FIFA 23,EA Sports FC 24,3.9,3370,2940,1.1,4318,391000,341000,31,3.6,Monday,Saturday
218,giggand,German,personality,Grand Theft Auto V,Just Chatting,4.8,7410,6936,2.1,484,638000,6180000,167,2.8,Sunday,Thursday
219,josedeodo,Spanish,personality,League of Legends,Just Chatting,2.6,1859,12463,1.0,8000,456000,3060000,4,1.0,Tuesday,Monday
220,mira,English,personality,Just Chatting,Pools Hot Tubs and Beaches,10.0,4210,23323,2.0,15738,646000,34300000,80,3.8,Saturday,Sunday
221,dangerlyoha,Russian,personality,Just Chatting,Counter-Strike,3.9,165,14754,2.1,2092,890000,7950000,164,2.2,Saturday,Sunday
222,zentreya,English,personality,Just Chatting,VRChat,5.1,3070,4295,2.2,937,502000,7160000,636,5.3,Tuesday,Sunday
223,stariy_bog,Russian,personality,Dota 2,Just Chatting,4.6,1800,3245,1.0,6613,281000,5070000,9,4.9,Monday,Sunday
224,kyedae,English,personality,VALORANT,Just Chatting,5.5,4142,45278,1.2,4066,2850000,31100000,73,3.6,Friday,Sunday
225,extraemily,English,personality,Just Chatting,Super Mario Odyssey,5.2,4290,5590,1.7,5216,365000,476000,204,4.8,Friday,Thursday
226,brawlhalla,English,esports,Brawlhalla,Clone Hero,2.8,1533,23674,1.0,3818,2080000,32700000,53,3.4,Tuesday,Sunday
227,akamikarubi,Japanese,personality,VALORANT,Street Fighter 6,7.0,4060,1844,1.4,7789,481000,2190000,153,5.9,Thursday,Sunday
228,bbbb87,Chinese,personality,League of Legends,Just Chatting,6.9,1220,12933,1.8,7762,152000,16100000,225,3.1,Saturday,Sunday
229,dota2_paragon_ru2,Russian,personality,Dota 2,Variety,10.0,1175,0,1.0,6200,78700,0,2,1.1,Monday,Monday
230,spiukbs,Spanish,personality,Brawl Stars,Just Chatting,3.2,3410,3342,1.3,2349,271000,2660000,37,2.4,Wednesday,Sunday
231,esl_dota2storm,English,esports,Dota 2,Variety,8.3,1321,27968,1.0,121,209000,5080000,2,0.5,Sunday,Thursday
232,pokimane,English,personality,Just Chatting,League of Legends,3.8,6735,158446,1.8,6455,9320000,220000000,135,4.4,Tuesday,Wednesday
233,jolavanille,French,personality,Fortnite,Just Chatting,6.8,4710,11348,2.3,8754,643000,15400000,101,6.6,Sunday,Sunday
234,vinesauce,English,personality,Games + Demos,Trash,4.3,2130,11536,2.0,8119,603000,41000000,918,4.8,Monday,Monday
235,strogo1337,Russian,personality,Just Chatting,Counter-Strike,3.2,9180,7317,2.1,2417,665000,5300000,40,5.3,Sunday,Monday
236,yoda,Portuguese,personality,League of Legends,Teamfight Tactics,8.0,1143,118635,2.1,15787,2440000,248000000,327,5.1,Thursday,Saturday
237,bastighg,German,personality,Minecraft,Rocket League,6.1,6150,14577,1.9,16822,1780000,41100000,304,7.0,Thursday,Saturday
238,mistermv,French,personality,Teamfight Tactics,Special Events,4.8,4430,42842,1.5,9257,886000,86100000,565,4.9,Wednesday,Sunday
239,bkinho,Portuguese,personality,Grand Theft Auto V,Virtual Casino,7.5,112,50,1.9,1848,277000,1300,38,0.9,Thursday,Tuesday
240,otzdarva,English,personality,Dead by Daylight,DARK SOULS II: Scholar of the First Sin,6.0,5520,11278,1.2,11662,1020000,20700000,141,5.0,Saturday,Tuesday
241,elzeein,Spanish,personality,Just Chatting,Minecraft,7.2,8780,6120,1.9,4766,551000,394000,90,2.2,Wednesday,Monday
242,setsuko,English,personality,Teamfight Tactics,Poker,6.8,2470,2840,1.0,49,165000,190000,14,4.0,Friday,Monday
243,woohankyung,Korean,personality,Just Chatting,League of Legends,5.0,1093,38046,1.2,2602,587000,20400000,31,2.8,Wednesday,Sunday
244,steel,Russian,personality,Just Chatting,Grand Theft Auto V,4.3,2800,5997,1.9,584,381000,8170000,101,4.3,Monday,Tuesday
245,etoiles,French,personality,Minecraft,Just Chatting,5.3,6850,27739,2.1,90920,1100000,44500000,195,4.5,Saturday,Saturday
246,finalfantasyxiv,English,personality,FINAL FANTASY XIV ONLINE,Final Fantasy XIV: Heavensward,3.6,8000,23958,1.0,1393,339000,12000000,5,1.0,Friday,Saturday
247,dougdoug,English,personality,Just Chatting,Grand Theft Auto V,3.2,1839,5588,1.4,2387,904000,2750000,130,2.7,Tuesday,Tuesday
248,gerardromero,Spanish,personality,Sports,Just Chatting,5.1,4430,2792,1.0,5497,720000,4540000,12,6.0,Tuesday,Sunday
249,yuyuta0702,Japanese,personality,Just Chatting,Yu-Gi-Oh! Master Duel,6.0,3690,2965,1.3,3716,261000,2100000,89,4.8,Saturday,Sunday
250,duke,English,personality,Just Chatting,NBA 2K19,2.4,7086,4392,1.3,7110,2100000,1300000,49,0.8,Friday,Tuesday
251,meikodrj,Portuguese,personality,Grand Theft Auto V,Just Chatting,5.6,5720,5979,1.6,7712,764000,7990000,121,4.3,Friday,Sunday
252,lacobraaa,Spanish,personality,Just Chatting,League of Legends,5.2,5580,1548,1.4,804,949000,2640000,29,4.3,Monday,Wednesday
253,fanum,English,personality,Grand Theft Auto V,Just Chatting,4.8,3654,2117,2.0,2825,2049999,1190000,85,1.5,Thursday,Thursday
254,franio,Polish,personality,Just Chatting,I'm Only Sleeping,5.5,7210,4497,1.3,3783,437000,2730000,43,2.7,Wednesday,Sunday
255,henyathegenius,English,personality,Just Chatting,Minecraft,5.5,1101,0,2.3,1877,330000,0,159,6.3,Sunday,Sunday
256,tikyjr,French,personality,League of Legends,VALORANT,5.4,1980,5500,1.3,4593,184000,513000,47,6.8,Tuesday,Tuesday
257,bonjwa,German,personality,Just Chatting,Variety,12.0,910,33518,5.1,30503,238000,83500000,1236,6.5,Thursday,Tuesday
258,jordan_semih,German,personality,Just Chatting,EA Sports FC 24,1.6,8410,0,1.3,5880,311000,0,36,5.9,Monday,Sunday
259,pobelter,English,personality,League of Legends,ELDEN RING,4.6,1620,6212,1.1,6129,452000,20100000,32,3.4,Tuesday,Monday
260,valorant_br,Portuguese,esports,VALORANT,Talk Shows & Podcasts,5.3,1647,36671,1.0,272,750000,16600000,3,2.8,Saturday,Sunday
261,mobilmobil,Chinese,personality,Talk Shows & Podcasts,Tom Clancy's Rainbow Six Siege,5.1,880,33342,1.8,13349,548000,138000000,1256,6.7,Saturday,Sunday
262,izakooo,Polish,personality,Counter-Strike,Call of Duty: Warzone,6.8,5450,51797,1.6,13869,1950000,190000000,195,5.2,Tuesday,Friday
263,never_loses,Chinese,personality,League of Legends,Just Chatting,5.3,1200,26169,1.3,10186,288000,53000000,88,4.8,Sunday,Thursday
264,oestagiario,Portuguese,personality,Sports,Just Chatting,6.6,2500,5614,2.1,9336,344000,7720000,121,4.8,Tuesday,Tuesday
265,staiy,German,personality,Just Chatting,Grand Theft Auto V,5.3,1120,11031,1.8,12214,348000,34000000,272,5.9,Sunday,Sunday
266,akademiks,English,personality,Just Chatting,NBA 2K17,4.3,6390,5029,1.1,3736,556000,4610000,16,2.2,Friday,Friday
267,cct_cs,English,esports,Counter-Strike,Sports,10.5,4550,44292,1.0,944,417000,40700000,3,3.1,Wednesday,Tuesday
268,watsondoto,Russian,personality,Dota 2,Counter-Strike,4.5,4420,1578,1.0,1998,209000,745000,5,1.4,Tuesday,Thursday
269,warframeinternational,Spanish,personality,Warframe,,1.2,7040,2955,1.0,3230,188000,790000,1,0.7,Wednesday,Wednesday
270,pqueen,Turkish,personality,Just Chatting,Counter-Strike,4.6,1802,40222,2.2,6542,2300000,51400000,504,4.1,Wednesday,Wednesday
271,ninja,English,personality,Fortnite,PUBG: BATTLEGROUNDS,7.4,9552,28075,1.3,1247,19000000,572000000,70,4.1,Thursday,Sunday
272,distortion2,English,personality,ELDEN RING,DARK SOULS III,8.3,1870,11272,1.6,21939,644000,38400000,557,6.7,Wednesday,Sunday
273,betboom_cs_a,Russian,personality,Counter-Strike,Dota 2,8.4,3370,45839,1.0,11451,334000,58100000,4,2.5,Wednesday,Sunday
274,koreshzy,Russian,personality,Just Chatting,Virtual Casino,2.7,2097,14381,1.1,227,1790000,12300000,29,4.1,Sunday,Sunday
275,ilrossopiubelloditwitch,Italian,personality,Just Chatting,I'm Only Sleeping,3.2,9910,0,1.2,125,380000,0,21,4.4,Tuesday,Saturday
276,michou,French,personality,Fortnite,Special Events,3.3,1249,23308,1.3,5450,1960000,3670000,42,0.5,Sunday,Saturday
277,banda_chosuke,Japanese,personality,Grand Theft Auto V,Variety,6.4,3220,0,1.0,2511,136000,8,7,4.9,Sunday,Sunday
278,filian,English,personality,Just Chatting,VRChat,2.7,1602,1003,1.6,2173,873000,547000,146,4.9,Sunday,Saturday
279,ramzes,Russian,personality,Dota 2,The Dark Pictures Anthology: Little Hope,3.8,1135,27591,1.0,1202,386000,9270000,11,0.8,Thursday,Tuesday
280,barbarousking,English,personality,Super Mario World,Super Mario Maker,9.3,490,4404,1.7,24527,214000,19200000,515,6.7,Friday,Wednesday
281,t2x2,Russian,personality,Just Chatting,Minecraft,3.8,4850,3008,2.1,3857,503000,3360000,311,2.6,Sunday,Friday
282,diario_as,Spanish,personality,Sports,Sports,2.5,210,530,1.0,1422,14400,36700,11,2.3,Tuesday,Monday
283,renatko,Russian,personality,Just Chatting,Grand Theft Auto V,3.3,1970,1876,1.5,3435,213000,2029999,23,4.0,Friday,Tuesday
284,chatterbox,English,personality,Grand Theft Auto V,Left 4 Dead 2,5.4,1320,4750,1.1,436,92600,332000,24,4.5,Tuesday,Sunday
285,chess,English,esports,Chess,Chess (5),4.9,4700,129772,1.0,1076,1150000,348000000,7,4.9,Tuesday,Sunday
286,admiralbahroo,English,personality,Dead by Daylight,They Are Billions,7.7,2300,3093,1.6,18497,841000,83500000,542,6.1,Monday,Friday
287,xrohat,German,personality,Grand Theft Auto V,Just Chatting,6.8,8160,12775,2.4,8411,1040000,16300000,146,5.3,Wednesday,Sunday
288,vedal987,English,personality,Just Chatting,osu!,5.0,1816,2200,1.2,1629,543000,66000,33,1.1,Monday,Tuesday
289,roier,Spanish,personality,Just Chatting,Minecraft,3.5,3797,5117,1.9,2469,2420000,3280000,148,2.0,Tuesday,Sunday
290,doigby,French,personality,Fortnite,League of Legends,4.6,1806,31321,1.8,4603,1810000,31700000,185,2.6,Thursday,Sunday
291,att,English,personality,Counter-Strike,Apex Legends,2.1,6070,261664,1.0,1030,20400,8640000,15,0.3,Friday,Thursday
292,skermz,English,personality,Dead by Daylight,Fortnite,4.9,1820,8940,1.0,6266,235000,1160000,37,4.0,Wednesday,Monday
293,samueletienne,French,personality,Just Chatting,VALORANT,3.6,8840,11797,1.1,2678,779000,9950000,42,4.2,Monday,Saturday
294,haitani0904,Japanese,personality,Street Fighter 6,Street Fighter V,5.4,1390,157,1.2,3842,113000,1270000,70,2.2,Tuesday,Sunday
295,telefe,Spanish,personality,Just Chatting,Watch TV,5.5,5310,140,1.0,3341,550000,14300,9,4.2,Tuesday,Monday
296,imorr,Turkish,personality,Counter-Strike,Counter-Strike 2 Limited Test,2.7,5090,19624,1.2,1644,311000,12000000,17,1.7,Monday,Thursday
297,dariomocciatwitch,Italian,personality,Just Chatting,Talk Shows & Podcasts,5.3,3490,14059,1.8,9101,589000,23700000,315,5.4,Tuesday,Monday
298,lilsimsie,English,personality,The Sims 4,Animal Crossing: New Horizons,3.3,4800,6624,1.1,5972,849000,11700000,54,5.2,Tuesday,Saturday
299,penta,English,personality,Grand Theft Auto V,Just Chatting,7.0,1850,11645,1.3,15728,360000,22600000,173,5.8,Thursday,Sunday
300,nikolarn,English,personality,Apex Legends,Counter-Strike,5.2,2050,23157,1.9,8261,564000,38800000,125,4.0,Tuesday,Tuesday
301,supertf,English,personality,Overwatch,Overwatch 2,6.2,3700,8919,1.8,10965,643000,15500000,274,4.7,Tuesday,Wednesday
302,realzbluewater,English,personality,Among Us,VALORANT,13.2,1410,3120,3.1,16138,156000,378000,136,5.7,Thursday,Thursday
303,lightturnip,English,personality,MORDHAU,,2.1,70,0,1.0,600,200,14,1,0.4,Sunday,Saturday
304,hiswattson,English,personality,Apex Legends,Overwatch 2,7.0,7530,1434,1.0,6512,709000,1350000,15,4.2,Tuesday,Sunday
305,glorious_e,English,personality,Escape from Tarkov,PUBG: BATTLEGROUNDS,7.2,1810,3961,1.1,12951,341000,7460000,44,5.1,Monday,Sunday
306,michimochievee,English,personality,Just Chatting,Minecraft,8.2,1928,0,2.1,2630,98700,0,23,6.2,Wednesday,Sunday
307,kmsenkangoo,French,personality,Just Chatting,Grand Theft Auto V,4.3,1121,1050,1.7,2277,560000,52500,36,4.6,Sunday,Sunday
308,yaritaiji,Japanese,personality,Street Fighter 6,Apex Legends,4.3,8190,1607,1.2,2920,59700,114000,10,0.4,Saturday,Wednesday
309,imaqtpie,English,personality,League of Legends,Teamfight Tactics,8.0,4440,68813,1.6,20876,2590000,348000000,173,6.6,Tuesday,Thursday
310,deepins02,Russian,personality,Just Chatting,ROBLOX,3.0,4033,9035,1.9,1233,1680000,3750000,92,2.7,Tuesday,Wednesday
311,mazellovvv,Russian,personality,Just Chatting,I'm Only Sleeping,3.6,2037,7738,1.8,2486,1380000,5220000,194,2.7,Wednesday,Sunday
312,faide,English,personality,Apex Legends,DayZ,5.1,8450,4956,1.0,6981,1090000,6400000,16,3.8,Tuesday,Sunday
313,akarindao,Japanese,personality,VALORANT,Apex Legends,8.1,4230,283,1.1,8719,465000,3110000,80,5.6,Wednesday,Wednesday
314,4head,English,personality,Grand Theft Auto V,Rust,7.3,1210,1810,1.2,644,106000,159000,54,3.3,Sunday,Sunday
315,keznit1,Spanish,personality,VALORANT,Counter-Strike,3.0,3250,509,1.1,3426,396000,6190000,24,3.2,Wednesday,Friday
316,pestily,English,personality,Escape from Tarkov,Just Chatting,8.2,7420,37524,1.2,15155,1370000,69500000,119,5.3,Tuesday,Tuesday
317,gafallen,Portuguese,personality,Counter-Strike,FIFA 21,3.1,2159,57369,1.2,185,1510000,43100000,32,1.5,Tuesday,Sunday
318,chilledchaos,English,personality,Among Us,Jackbox Party Packs,4.8,2410,8396,1.8,7117,459000,11900000,334,4.4,Wednesday,Tuesday
319,abugoku9999,German,personality,Grand Theft Auto V,Just Chatting,7.1,5640,7831,1.9,6844,550000,7640000,65,4.3,Monday,Sunday
320,agustinunaplay8,Spanish,personality,Dead by Daylight,Lethal Company,3.7,3990,1541,1.4,2653,289000,1110000,52,2.4,Tuesday,Tuesday
321,just_ns,Russian,personality,Dota 2,World of Warcraft,7.4,4870,38575,1.4,10052,732000,55500000,198,3.5,Tuesday,Monday
322,tubbo,English,personality,Minecraft,Just Chatting,4.7,381,47258,1.5,6727,5280000,65500000,129,4.6,Saturday,Thursday
323,kickeresport,German,personality,EA Sports FC 24,FIFA 20,2.6,270,6393,1.0,4130,4300,998000,15,0.7,Thursday,Monday
324,mande,English,personality,Apex Legends,Just Chatting,7.0,3420,4862,1.7,12177,624000,8860000,194,4.5,Wednesday,Sunday
325,skyyart,French,personality,League of Legends,Fortnite,6.3,4550,14985,1.8,11161,859000,27300000,236,4.6,Sunday,Saturday
326,lla,Spanish,esports,League of Legends,Teamfight Tactics,5.5,7640,39372,1.0,4661,679000,35000000,6,2.3,Saturday,Saturday
327,quicksoooooo,French,personality,VALORANT,Fortnite,2.2,7300,0,1.2,790,29200,0,2,1.0,Saturday,Thursday
328,kussia88,Russian,personality,Just Chatting,Minecraft,2.4,4427,0,1.1,5290,987000,8,16,3.9,Sunday,Thursday
329,cr_arisakaaa,Japanese,personality,VALORANT,Escape from Tarkov,4.7,1005,4590,1.1,1976,435000,199000,56,1.3,Saturday,Sunday
330,im_mittiii,Japanese,personality,VALORANT,League of Legends,7.5,2400,1153,1.3,6594,261000,1250000,80,5.7,Thursday,Sunday
331,missmikkaa,English,personality,ELDEN RING,Just Chatting,6.2,2500,1113,1.3,8169,334000,1570000,294,3.4,Thursday,Sunday
332,des0ut,Russian,personality,PUBG: BATTLEGROUNDS,Just Chatting,3.8,3360,12726,2.0,5836,486000,18400000,42,4.9,Friday,Saturday
333,grendy,Polish,personality,Grand Theft Auto V,Minecraft,5.7,2140,6713,1.4,5081,188000,5900000,38,4.2,Tuesday,Sunday
334,minerva,Portuguese,personality,League of Legends,Virtual Casino,6.5,4950,8030,1.3,4212,365000,2570000,15,1.9,Thursday,Sunday
335,universoreality_cl,Portuguese,personality,Just Chatting,Variety,5.2,5950,0,1.5,2680,28600,0,21,0.7,Monday,Monday
336,nissaxter,Spanish,personality,League of Legends,Fortnite,3.5,4490,6854,1.1,6807,789000,12000000,64,5.5,Sunday,Wednesday
337,shuteye_orange,Chinese,personality,Just Chatting,IRL,16.1,800,2942,1.5,44732,175000,73300000,277,6.9,Monday,Saturday
338,perxitaa,Spanish,personality,Grand Theft Auto V,Minecraft,4.0,2116,35555,1.3,4691,2490000,41800000,74,4.4,Wednesday,Sunday
339,jokerdtv,English,personality,World of Warcraft,Variety,9.2,2260,15728,1.1,12889,314000,21800000,34,4.2,Monday,Friday
340,laligafcpro,Spanish,esports,FIFA 21,FIFA 22,3.9,7330,89003,1.0,6710,122000,14800000,5,0.8,Tuesday,Sunday
341,xcry,Spanish,personality,Just Chatting,Minecraft,3.0,2911,7387,2.0,3798,3260000,8279999,268,3.7,Wednesday,Friday
342,pequenocabelo,Portuguese,personality,Grand Theft Auto V,Variety,2.0,6727,0,1.5,100,30300,0,3,4.4,Monday,Saturday
343,dantes,English,personality,League of Legends,Just Chatting,8.5,6060,1823,1.1,12738,966000,2910000,73,6.2,Thursday,Monday
344,willneff,English,personality,Just Chatting,Grand Theft Auto V,4.8,3710,6586,1.7,6199,495000,8790000,290,4.3,Thursday,Monday
345,voodoosh,Russian,personality,Heroes of Might and Magic III: The Restoration of Erathia,Heroes of Might and Magic III: The Shadow of Death,7.0,1960,20779,1.5,14745,385000,41300000,157,6.4,Tuesday,Friday
346,gronkhtv,German,personality,Variety,Minecraft,23.8,5980,24018,9.3,3435,568000,21400000,355,4.2,Saturday,Saturday
347,drututt,English,personality,League of Legends,I'm Only Sleeping,5.7,5530,8635,1.1,6245,580000,9060000,30,3.1,Thursday,Sunday
348,manuuxo,Italian,personality,Just Chatting,FIFA 21,4.2,3210,6030,2.7,4756,355000,665000,410,4.2,Tuesday,Sunday
349,nadeshot,English,personality,VALORANT,Call of Duty: Warzone,5.5,1427,26147,1.2,5773,2049999,62400000,52,2.7,Wednesday,Wednesday
350,sasavot,Russian,personality,Dota 2,Just Chatting,4.3,1213,630,2.2,1635,466000,24800,89,1.7,Saturday,Monday
351,spkclb,Portuguese,personality,Grand Theft Auto V,Just Chatting,2.9,6090,1557,1.7,1835,345000,881000,30,1.7,Monday,Monday
352,alfrea,Japanese,personality,League of Legends,Escape from Tarkov,7.5,850,6458,1.3,15069,177000,13400000,174,5.1,Wednesday,Monday
353,broxah,English,personality,League of Legends,Call of Dragons,5.7,5530,10187,1.0,5336,524000,9650000,19,2.5,Tuesday,Sunday
354,sacy,Portuguese,personality,VALORANT,League of Legends,5.7,6440,16366,1.2,553,682000,17300000,48,2.9,Wednesday,Sunday
355,oceaneamsler,French,personality,Just Chatting,Outlast,2.3,3445,40,1.0,2310,345000,350,2,0.7,Sunday,Sunday
356,ren_kisaragi__,Japanese,personality,Street Fighter 6,Grand Theft Auto V,5.4,8620,0,1.1,1004,178000,272,20,1.9,Thursday,Sunday
357,moistcr1tikal,English,personality,Just Chatting,Super Smash Bros. Ultimate,5.2,2455,26988,1.5,9722,5400000,59300000,460,6.2,Thursday,Friday
358,ravanha69,Portuguese,personality,Virtual Casino,Fortnite,21.6,920,250,1.0,5714,16100,7900,3,0.8,Tuesday,Friday
359,boxbox,English,personality,Teamfight Tactics,League of Legends,6.8,5640,29058,1.9,15166,2120000,125000000,166,5.7,Friday,Wednesday
360,carreraaa,Spanish,personality,Just Chatting,Fortnite,2.9,6457,1518,2.0,2712,4570000,10700000,203,3.1,Tuesday,Sunday
361,evojapan02,Japanese,personality,Street Fighter V,Street Fighter 6,11.8,3625,27446,3.1,830,27200,211000,14,0.0,Saturday,Saturday
362,39daph,English,personality,Art,Just Chatting,7.1,7450,20125,2.1,11517,1200000,32500000,692,4.5,Wednesday,Sunday
363,robcdee,English,personality,Just Chatting,IRL,7.8,1830,7907,1.0,13565,323000,13900000,31,4.9,Saturday,Sunday
364,emongg,English,personality,Overwatch,Overwatch 2,8.2,3830,16892,1.1,19907,983000,42400000,60,6.2,Wednesday,Wednesday
365,evojapan01,Japanese,personality,Variety,Guilty Gear Xrd: Rev 2,9.8,2837,61458,3.2,1760,49000,1110000,24,0.0,Saturday,Sunday
366,moe_iori,Japanese,personality,Just Chatting,Apex Legends,2.5,229,830,1.3,2530,241000,13000,17,0.7,Friday,Sunday
367,crazyraccoonyy,Japanese,personality,VALORANT,Apex Legends,7.0,1312,5616,1.4,6820,135000,579000,23,0.6,Sunday,Tuesday
368,vysotzky,Polish,personality,League of Legends,Just Chatting,4.7,6960,16114,1.7,335,385000,8910000,105,3.5,Friday,Monday
369,naru0419045,Japanese,personality,Street Fighter 6,VALORANT,6.3,1270,0,1.3,2423,60600,0,58,3.9,Tuesday,Sunday
370,aquino,Spanish,personality,Just Chatting,Minecraft,4.0,9770,5474,2.6,4013,962000,5390000,358,2.9,Friday,Saturday
371,amouranth,English,personality,Just Chatting,IRL,9.5,2123,112858,2.0,32024,6290000,401000000,153,6.4,Monday,Tuesday
372,theneedledrop,English,personality,Music,Variety,2.2,116,32718,1.0,8370,410000,11200000,3,1.8,Saturday,Monday
373,zoomaa,English,personality,Call of Duty: Modern Warfare II,Call of Duty: Black Ops Cold War,6.1,2040,4716,1.7,10448,377000,7900000,106,4.4,Thursday,Thursday
374,aldo_geo,Spanish,personality,Just Chatting,Minecraft,5.1,186,4814,2.6,5394,1870000,4830000,307,3.6,Thursday,Friday
375,sanninshow_3ns,Japanese,personality,Street Fighter 6,Apex Legends,5.2,1700,1708,1.2,324,134000,1290000,99,3.8,Thursday,Sunday
376,jingggxd,English,personality,VALORANT,THE FINALS,4.2,1079,1122,1.1,2163,601000,625000,27,2.6,Sunday,Tuesday
377,batora324,Japanese,personality,Super Mario 64,Super Smash Bros. Ultimate,5.2,1330,1621,1.4,2677,75800,912000,102,2.5,Saturday,Tuesday
378,rezonfn,German,personality,Fortnite,Just Chatting,3.5,1017,7044,1.1,3003,947000,6570000,29,3.1,Friday,Sunday
379,luminositygaming,English,esports,Call of Duty: Warzone,Super Smash Bros. Ultimate,3.0,3890,165122,1.1,7270,87200,35400000,29,1.1,Wednesday,Sunday
380,dasmehdi,English,personality,Grand Theft Auto V,Arma 3,10.1,2270,14497,1.6,19605,467000,28300000,529,5.0,Tuesday,Sunday
381,rdulive,English,personality,Hearthstone,Fall Guys,7.0,1260,14166,1.1,1521,330000,33500000,56,5.5,Tuesday,Sunday
382,masondota2,English,personality,Dota 2,DARK SOULS III,5.4,1460,10772,1.1,8956,259000,18900000,41,4.2,Tuesday,Sunday
383,symfuhny,English,personality,Call of Duty: Warzone,Fortnite,6.9,1547,3579,1.2,16866,3990000,92300000,71,6.3,Tuesday,Sunday
384,mckytv,German,personality,Fortnite,Just Chatting,6.3,7070,24995,2.2,13022,1370000,48500000,211,5.2,Saturday,Sunday
385,insym,English,personality,Phasmophobia,Welcome to the Game II,4.5,2990,3286,1.4,7977,567000,6230000,722,5.9,Saturday,Monday
386,vei,English,personality,Just Chatting,Overwatch,4.4,8210,1042,1.9,6182,1060000,13400000,321,3.6,Sunday,Monday
387,peterbot,English,personality,Fortnite,Variety,3.0,1004,1225,1.1,1498,550000,671000,9,2.6,Wednesday,Sunday
388,oniyadayo,Japanese,personality,Apex Legends,Just Chatting,5.1,5790,6734,1.1,2299,286000,3300000,62,2.6,Wednesday,Sunday
389,quickybaby,English,personality,World of Tanks,World of Warcraft,7.6,2240,19066,1.2,13316,611000,52800000,101,4.5,Sunday,Sunday
390,tfblade,English,personality,League of Legends,I'm Only Sleeping,8.0,5810,45247,1.0,14807,1260000,98000000,30,5.2,Tuesday,Saturday
391,smallant,English,personality,Super Mario Odyssey,Minecraft,4.9,9500,11469,1.2,8186,1390000,16700000,116,4.7,Wednesday,Tuesday
392,asianbunnyx,English,personality,Just Chatting,Pools Hot Tubs and Beaches,6.2,126,2324,1.5,3985,894000,1650000,30,2.9,Sunday,Wednesday
393,zrush,Chinese,personality,Just Chatting,Games + Demos,7.1,750,20321,1.6,17003,264000,62800000,444,6.1,Sunday,Saturday
394,amar,German,personality,Fortnite,VALORANT,6.6,9870,35775,1.5,1212,1720000,61700000,80,4.7,Sunday,Sunday
